row_name,uniq_idx,uniq_idx_sum,entro,vec_sum,sim_sum,sim_min,sim_max,is_sampled,uniq_rank,id,lon,lat
TQ3257a,0.73883,36941.28012,10.2388,1.48751,13058.71988,0,1,True,809091,TQ3257a,532250,157250
TQ3257b,0.74355,37177.46838,10.21599,1.45661,12822.53162,0,1,True,780596.5,TQ3257b,532750,157250
TQ3257c,0.74245,37122.56578,10.22136,1.46363,12877.43422,0,1,True,787217,TQ3257c,532750,157750
TQ3257d,0.73897,36948.64882,10.2381,1.48652,13051.35118,0,1,True,808254.5,TQ3257d,532250,157750
TQ3258a,0.73975,36987.30493,10.23442,1.48134,13012.69507,0,1,True,803547.5,TQ3258a,532250,158250
TQ3258b,0.74261,37130.30693,10.2206,1.46263,12869.69307,0,1,True,786319.5,TQ3258b,532750,158250
TQ3258c,0.74179,37089.51792,10.22457,1.4679,12910.48208,0,1,True,791258.5,TQ3258c,532750,158750
TQ3258d,0.73978,36989.22994,10.23423,1.48109,13010.77006,0,1,True,803357.5,TQ3258d,532250,158750
TQ3259a,0.73889,36944.49713,10.2385,1.48707,13055.50287,0,1,True,808736.5,TQ3259a,532250,159250
TQ3259b,0.73982,36991.15871,10.23405,1.48083,13008.84129,0,1,True,803107.5,TQ3259b,532750,159250
TQ3259c,0.73756,36877.77445,10.24482,1.49614,13122.22555,0,1,True,816723.5,TQ3259c,532750,159750
TQ3259d,0.73748,36873.91251,10.24518,1.49667,13126.08749,0,1,True,817186,TQ3259d,532250,159750
TQ3260a,0.7397,36984.90393,10.23464,1.48166,13015.09607,0,1,True,803836.5,TQ3260a,532250,160250
TQ3260b,0.74005,37002.32283,10.23298,1.47935,12997.67717,0,1,True,801721,TQ3260b,532750,160250
TQ3260c,0.74564,37282.18523,10.20562,1.44346,12717.81477,0,1,True,768373,TQ3260c,532750,160750
TQ3260d,0.74503,37251.68248,10.20865,1.44726,12748.31752,0,1,True,771917,TQ3260d,532250,160750
TQ3261a,0.75209,37604.70363,10.17261,1.40485,12395.29637,0,1,True,731228,TQ3261a,532250,161250
